,기간,자치구,당뇨병 정상,당뇨병 이상,고혈압 정상,고혈압 이상
0,2013,종로구,9.2,90.8,10.6,89.4
1,2013,중구,6.9,93.1,11.5,88.5
2,2013,용산구,13.1,86.9,12.8,87.2
3,2013,성동구,13.2,86.8,11.2,88.8
4,2013,광진구,15.3,84.7,13.6,86.4
5,2013,동대문구,10.3,89.7,7.8,92.2
6,2013,중랑구,12.3,87.7,10.6,89.4
7,2013,성북구,18.9,81.1,12.1,87.9
8,2013,강북구,14.7,85.3,10.8,89.2
9,2013,도봉구,11.8,88.2,8.9,91.1
10,2013,노원구,12.5,87.5,10.9,89.1
11,2013,은평구,13.4,86.6,11.4,88.6
12,2013,서대문구,15.9,84.1,13.0,87.0
13,2013,마포구,17.4,82.6,14.3,85.7
14,2013,양천구,13.3,86.7,10.7,89.3
15,2013,강서구,12.9,87.1,11.6,88.4
16,2013,구로구,15.3,84.7,10.8,89.2
17,2013,금천구,25.3,74.7,12.7,87.3
18,2013,영등포구,16.0,84.0,13.4,86.6
19,2013,동작구,14.9,85.1,13.2,86.8
20,2013,관악구,16.3,83.7,11.9,88.1
21,2013,서초구,16.0,84.0,11.3,88.7
22,2013,강남구,15.2,84.8,13.0,87.0
23,2013,송파구,16.4,83.6,13.1,86.9
24,2013,강동구,11.6,88.4,9.0,91.0
