,기간,자치구,당뇨병 정상,당뇨병 이상,고혈압 정상,고혈압 이상
0,2017,종로구,7.8,92.2,8.9,91.1
1,2017,중구,8.5,91.5,9.7,90.3
2,2017,용산구,11.7,88.3,11.6,88.4
3,2017,성동구,8.9,91.1,8.3,91.7
4,2017,광진구,8.2,91.8,8.1,91.9
5,2017,동대문구,6.2,93.8,6.2,93.8
6,2017,중랑구,8.8,91.2,9.2,90.8
7,2017,성북구,9.0,91.0,8.1,91.9
8,2017,강북구,12.0,88.0,8.8,91.2
9,2017,도봉구,9.5,90.5,11.7,88.3
10,2017,노원구,8.4,91.6,8.3,91.7
11,2017,은평구,8.1,91.9,9.2,90.8
12,2017,서대문구,7.9,92.1,8.9,91.1
13,2017,마포구,9.9,90.1,10.3,89.7
14,2017,양천구,8.0,92.0,8.6,91.4
15,2017,강서구,9.6,90.4,7.3,92.7
16,2017,구로구,9.3,90.7,8.9,91.1
17,2017,금천구,9.2,90.8,10.2,89.8
18,2017,영등포구,6.9,93.1,10.9,89.1
19,2017,동작구,9.2,90.8,9.3,90.7
20,2017,관악구,8.8,91.2,7.8,92.2
21,2017,서초구,9.2,90.8,9.1,90.9
22,2017,강남구,9.3,90.7,10.0,90.0
23,2017,송파구,10.1,89.9,8.8,91.2
24,2017,강동구,10.6,89.4,6.2,93.8
