,기간,자치구,당뇨병 정상,당뇨병 이상,고혈압 정상,고혈압 이상
0,2012,종로구,14.8,85.2,8.7,91.3
1,2012,중구,8.3,91.7,10.6,89.4
2,2012,용산구,15.2,84.8,12.0,88.0
3,2012,성동구,14.3,85.7,9.0,91.0
4,2012,광진구,14.4,85.6,16.7,83.3
5,2012,동대문구,12.4,87.6,8.6,91.4
6,2012,중랑구,13.1,86.9,10.1,89.9
7,2012,성북구,14.9,85.1,13.5,86.5
8,2012,강북구,16.3,83.7,12.2,87.8
9,2012,도봉구,14.6,85.4,12.0,88.0
10,2012,노원구,15.1,84.9,10.9,89.1
11,2012,은평구,12.2,87.8,12.1,87.9
12,2012,서대문구,14.8,85.2,10.0,90.0
13,2012,마포구,16.4,83.6,16.4,83.6
14,2012,양천구,17.6,82.4,11.6,88.4
15,2012,강서구,14.1,85.9,13.3,86.7
16,2012,구로구,14.9,85.1,10.3,89.7
17,2012,금천구,24.5,75.5,15.1,84.9
18,2012,영등포구,16.3,83.7,10.5,89.5
19,2012,동작구,16.0,84.0,11.8,88.2
20,2012,관악구,13.7,86.3,11.6,88.4
21,2012,서초구,16.7,83.3,13.9,86.1
22,2012,강남구,15.4,84.6,14.1,85.9
23,2012,송파구,16.3,83.7,13.8,86.2
24,2012,강동구,13.9,86.1,10.0,90.0
