,기간,자치구,당뇨병 정상,당뇨병 이상,고혈압 정상,고혈압 이상
0,2015,종로구,8.4,91.6,7.9,92.1
1,2015,중구,9.2,90.8,10.9,89.1
2,2015,용산구,11.7,88.3,11.1,88.9
3,2015,성동구,7.7,92.3,8.4,91.6
4,2015,광진구,10.7,89.3,10.1,89.9
5,2015,동대문구,9.2,90.8,6.7,93.3
6,2015,중랑구,11.7,88.3,9.2,90.8
7,2015,성북구,9.8,90.2,9.9,90.1
8,2015,강북구,10.2,89.8,10.0,90.0
9,2015,도봉구,10.3,89.7,10.6,89.4
10,2015,노원구,10.9,89.1,9.6,90.4
11,2015,은평구,9.0,91.0,11.6,88.4
12,2015,서대문구,13.4,86.6,10.1,89.9
13,2015,마포구,10.9,89.1,13.1,86.9
14,2015,양천구,9.9,90.1,9.8,90.2
15,2015,강서구,9.9,90.1,9.2,90.8
16,2015,구로구,11.3,88.7,9.0,91.0
17,2015,금천구,11.9,88.1,11.6,88.4
18,2015,영등포구,10.0,90.0,11.7,88.3
19,2015,동작구,9.4,90.6,8.4,91.6
20,2015,관악구,10.7,89.3,11.2,88.8
21,2015,서초구,8.1,91.9,9.7,90.3
22,2015,강남구,11.1,88.9,11.0,89.0
23,2015,송파구,12.7,87.3,11.5,88.5
24,2015,강동구,10.8,89.2,8.1,91.9
