,기간,자치구,당뇨병 정상,당뇨병 이상,고혈압 정상,고혈압 이상
0,2016,종로구,7.7,92.3,8.4,91.6
1,2016,중구,10.1,89.9,11.0,89.0
2,2016,용산구,9.0,91.0,12.6,87.4
3,2016,성동구,11.2,88.8,8.7,91.3
4,2016,광진구,10.9,89.1,8.9,91.1
5,2016,동대문구,8.0,92.0,8.7,91.3
6,2016,중랑구,11.5,88.5,10.4,89.6
7,2016,성북구,10.7,89.3,9.6,90.4
8,2016,강북구,10.4,89.6,9.3,90.7
9,2016,도봉구,9.5,90.5,11.4,88.6
10,2016,노원구,12.0,88.0,9.6,90.4
11,2016,은평구,8.3,91.7,11.7,88.3
12,2016,서대문구,10.4,89.6,11.4,88.6
13,2016,마포구,10.3,89.7,13.3,86.7
14,2016,양천구,9.2,90.8,9.2,90.8
15,2016,강서구,9.6,90.4,9.1,90.9
16,2016,구로구,10.6,89.4,10.2,89.8
17,2016,금천구,10.6,89.4,11.1,88.9
18,2016,영등포구,9.6,90.4,11.1,88.9
19,2016,동작구,10.1,89.9,10.5,89.5
20,2016,관악구,10.5,89.5,10.1,89.9
21,2016,서초구,8.7,91.3,9.9,90.1
22,2016,강남구,12.6,87.4,9.5,90.5
23,2016,송파구,9.4,90.6,9.9,90.1
24,2016,강동구,10.5,89.5,8.1,91.9
